variant	replicate	time	sample_id	last_full_CPE	wells_past
Alpha	1	0	1	-3	6
Alpha	1	1	5	-3	5
Alpha	1	8	21	-3	6
Alpha	1	24	9	-2	5
Alpha	1	48	13	0	3
Alpha	1	72	17	0	0
Alpha	1	96	25	0	0
Alpha	2	0	2	-3	7
Alpha	2	1	6	-3	7
Alpha	2	8	22	-3	4
Alpha	2	24	10	-2	5
Alpha	2	48	14	0	2
Alpha	2	72	18	0	1
Alpha	2	96	26	0	0
Alpha	3	0	3	-3	6
Alpha	3	1	7	-3	5
Alpha	3	8	23	-3	5
Alpha	3	24	11	-2	4
Alpha	3	48	15	0	3
Alpha	3	72	19	0	0
Alpha	3	96	27	0	0
Alpha	4	0	4	-3	8
Alpha	4	1	8	-3	6
Alpha	4	8	24	-2	3
Alpha	4	24	12	-2	5
Alpha	4	48	16	0	4
Alpha	4	72	20	0	0
Alpha	4	96	28	0	0
B.1	1	0	113	-2	4
B.1	1	1	117	-2	8
B.1	1	8	133	-2	3
B.1	1	24	121	-1	3
B.1	1	48	125	0	0
B.1	1	72	129	0	0
B.1	1	96	137	0	0
B.1	2	0	114	-3	5
B.1	2	1	118	-2	8
B.1	2	8	134	-2	2
B.1	2	24	122	-1	3
B.1	2	48	126	0	0
B.1	2	72	130	0	0
B.1	2	96	138	0	0
B.1	3	0	115	-2	7
B.1	3	1	119	-3	5
B.1	3	8	135	-2	7
B.1	3	24	123	-1	3
B.1	3	48	127	0	1
B.1	3	72	131	0	0
B.1	3	96	139	0	0
B.1	4	0	116	-2	7
B.1	4	1	120	-2	4
B.1	4	8	136	-2	5
B.1	4	24	124	-1	4
B.1	4	48	128	0	1
B.1	4	72	132	0	1
B.1	4	96	140	0	0
Beta	1	0	29	-3	4
Beta	1	1	33	-2	9
Beta	1	8	49	-3	4
Beta	1	24	37	-1	6
Beta	1	48	41	0	1
Beta	1	72	45	0	2
Beta	1	96	53	0	0
Beta	2	0	30	-3	5
Beta	2	1	34	-3	4
Beta	2	8	50	-2	4
Beta	2	24	38	-1	8
Beta	2	48	42	0	1
Beta	2	72	46	0	0
Beta	2	96	54	0	0
Beta	3	0	31	-3	6
Beta	3	1	35	-2	8
Beta	3	8	51	-2	3
Beta	3	24	39	-1	9
Beta	3	48	43	0	1
Beta	3	72	47	0	0
Beta	3	96	55	0	0
Beta	4	0	32	-3	6
Beta	4	1	36	-3	6
Beta	4	8	52	-2	7
Beta	4	24	40	-1	2
Beta	4	48	44	-1	5
Beta	4	72	48	0	0
Beta	4	96	56	0	1
Delta	1	0	57	-4	4
Delta	1	1	61	-3	6
Delta	1	8	77	-3	4
Delta	1	24	65	-1	4
Delta	1	48	69	0	1
Delta	1	72	73	0	0
Delta	1	96	81	0	0
Delta	2	0	58	-3	7
Delta	2	1	62	-3	7
Delta	2	8	78	-2	7
Delta	2	24	66	-2	5
Delta	2	48	70	0	0
Delta	2	72	74	0	1
Delta	2	96	82	0	0
Delta	3	0	59	-3	7
Delta	3	1	63	-3	6
Delta	3	8	79	-3	4
Delta	3	24	67	-1	6
Delta	3	48	71	0	1
Delta	3	72	75	0	0
Delta	3	96	83	0	0
Delta	4	0	60	-3	7
Delta	4	1	64	-4	4
Delta	4	8	80	-3	5
Delta	4	24	68	-1	6
Delta	4	48	72	0	0
Delta	4	72	76	0	0
Delta	4	96	84	0	0
Omicron	1	0	85	-2	6
Omicron	1	1	89	-2	4
Omicron	1	8	105	-1	3
Omicron	1	24	93	0	2
Omicron	1	48	97	0	0
Omicron	1	72	101	0	0
Omicron	1	96	109	0	0
Omicron	2	0	86	-2	5
Omicron	2	1	90	-2	5
Omicron	2	8	106	-1	4
Omicron	2	24	94	0	2
Omicron	2	48	98	0	0
Omicron	2	72	102	0	0
Omicron	2	96	110	0	0
Omicron	3	0	87	-2	4
Omicron	3	1	91	-2	6
Omicron	3	8	107	-1	2
Omicron	3	24	95	0	1
Omicron	3	48	99	0	0
Omicron	3	72	103	0	0
Omicron	3	96	111	0	0
Omicron	4	0	88	-2	7
Omicron	4	1	92	-1	4
Omicron	4	8	108	-1	3
Omicron	4	24	96	0	1
Omicron	4	48	100	0	0
Omicron	4	72	104	0	0
Omicron	4	96	112	0	0
WA1	1	0	141	-3	5
WA1	1	1	145	-3	4
WA1	1	8	161	-2	6
WA1	1	24	149	-1	8
WA1	1	48	153	0	2
WA1	1	72	157	0	0
WA1	1	96	165	0	0
WA1	2	0	142	-3	5
WA1	2	1	146	-3	4
WA1	2	8	162	-3	5
WA1	2	24	150	-1	7
WA1	2	48	154	0	0
WA1	2	72	158	0	0
WA1	2	96	166	0	0
WA1	3	0	143	-2	6
WA1	3	1	147	-3	5
WA1	3	8	163	-2	7
WA1	3	24	151	-2	4
WA1	3	48	155	0	1
WA1	3	72	159	0	0
WA1	3	96	167	0	0
WA1	4	0	144	-3	6
WA1	4	1	148	-2	8
WA1	4	8	164	-2	3
WA1	4	24	152	-1	3
WA1	4	48	156	0	1
WA1	4	72	160	0	0
WA1	4	96	168	0	0
