variant_display_name	cell	med_diff	q025_diff	q975_diff	med_fold_change	q025_fold_change	q975_fold_change	formatted_fold_change
Omicron (B.1.1.529)	Vero_E6	-1.045939417369718	-2.943754630739866	1.1807948896317135	0.6646313083814008	0.3542961043039504	1.4090605180416687	0.665 [0.354, 1.41]
Delta (B.1.617.2)	Vero-TMPRSSII-RML	-1.2598670821410713	-5.3254317015832395	1.2974267881568424	0.694349119374954	0.3239531962323438	1.3761341730996641	0.694 [0.324, 1.38]
Delta (B.1.617.2)	Vero_E6	-0.08605321717046932	-1.9377690542529926	1.652377216211859	0.9736386100740146	0.5866480108232855	1.6173505839461912	0.974 [0.587, 1.62]
Delta (B.1.617.2)	Vero_E6-TMPRSS2-T2A-ACE2	-1.440249016785681	-3.768880957101103	-0.3395910739339283	0.5350260371567654	0.29785145124712964	0.8558881888089611	0.535 [0.298, 0.856]
Beta (B.1.351)	Vero-TMPRSSII-RML	-0.05621807870203499	-4.225702355138794	8.126047798342372	0.985745731487212	0.4247913660349422	3.0496047799410464	0.986 [0.425, 3.05]
Beta (B.1.351)	Vero_E6	1.8867879939115297	-0.7249701385793561	8.84740310227765	1.607604823544659	0.8308216154849641	3.8977871439239387	1.61 [0.831, 3.9]
Beta (B.1.351)	Vero_E6-TMPRSS2-T2A-ACE2	3.184097517890069	-0.6307344222933493	31.625851140532202	2.046550395638401	0.8604632870228005	10.899123446674027	2.05 [0.86, 10.9]
Alpha (B.1.1.7)	Vero-TMPRSSII-RML	2.115707405986519	-2.939563542179496	35.34642629047308	1.5292450870470362	0.5727322281025146	9.885169872957611	1.53 [0.573, 9.89]
Alpha (B.1.1.7)	Vero_E6	2.6701676515986428	-0.5946244848737635	18.151884627758637	1.8537616142252764	0.856150649310121	6.9755332290650784	1.85 [0.856, 6.98]
Alpha (B.1.1.7)	Vero_E6-TMPRSS2-T2A-ACE2	5.137243860418053	-0.19364183715392658	56.51675812983593	2.6731608760924983	0.9556050310656099	17.960133377639924	2.67 [0.956, 18]
B.1	Vero-TMPRSSII-RML	2.5269889274265696	-2.7670312186060335	38.796647397790125	1.6252092516820558	0.5896504816828542	10.400322689241827	1.63 [0.59, 10.4]
B.1	Vero_E6	0.7524044199132864	-1.2751594870463667	3.9113658558873006	1.2431326085352987	0.7096759859555056	2.369311712190271	1.24 [0.71, 2.37]
B.1	Vero_E6-TMPRSS2-T2A-ACE2	1.1451342229868882	-1.7047057952899802	11.641257195312848	1.3768254129365007	0.6230900829983527	4.926466989542784	1.38 [0.623, 4.93]
WA1	Vero-TMPRSSII-RML	0	0	0	1	1	1	1 [1, 1]
WA1	Vero_E6	0	0	0	1	1	1	1 [1, 1]
WA1	Vero_E6-TMPRSS2-T2A-ACE2	0	0	0	1	1	1	1 [1, 1]
